HRR,HRR.Name,Provider.ID,Hospital.Name,City,State,System,Number.of.deaths.among.chronically.ill.patients.assigned.to.hospital,Percent.of.enrollees.medical.inpatient.days.at.hospital.to.which.they.were.assigned,Hospital.Care.Intensity.Index.during.the.Last.Two.Years.of.Life,Total.Medicare.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Inpatient.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Outpatient.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,SNF.Long.Term.Care.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Home.Health.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Hospice.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Ambulance.spending.per.Decedent.during.the.last.two.years.of.life,Reimbursements.for.Durable.Medical.Equipment.per.Decedent.during.the.Last.Two.Years.of.Life,Other.spending.per.Decedent.during.the.last.two.years.of.life,Part.B.Spending.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Evaluation...Management.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Procedures.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Imaging.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Tests.per.Decedent.during.the.Last.Two.Years.of.Life,Other.Part.B.spending.per.Decedent.during.the.last.two.years.of.life,Hospital.reimbursements.per.Decedent.during.the.last.two.years.of.life,Inpatient.Days.per.Decedent.during.the.Last.Two.Years.of.Life,Reimbursements.per.patient.day..calculated.,Hospital.Reimbursements..Ratio.to.US.Average..calculated.,Hospital.Days..Ratio.to.US.Average..calculated.,Reimbursements.per.Day..Ratio.to.US.Average..calculated.,Payments.for.physician.visits.per.Decedent.during.the.last.two.years.of.life,Physician.Visits.per.Decedent.during.the.Last.Two.Years.of.Life,Payments.per.physician.visit..calculated.,Physician.visit.payments..Ratio.to.US.Average..calculated.,Physician.visits..Ratio.to.US.Average..calculated.,Payments.per.visit..Ratio.to.US.Average..calculated.,Hospital.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Total.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,High.Intensity.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Intermediate.Intensity.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Medical...Surgical.Unit.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,SNF.Bed.Inputs.per.1.000.Dededents.during.the.Last.Two.Years.of.Life,FTE.Physician.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,FTE.Medical.Specialist.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,FTE.Primary.Care.Physician.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Standardized.FTE.physician.labor..Ratio.MS.PC..calculated.,RNs.Required.Under.Proposed.Federal.Standards.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Inpatient.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Total.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,High.Intensity.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Intermediate.Intensity.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Medical...Surgical.Unit.Days.per.Decedent.during.the.Last.Six.Months.of.Life,SNF.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Physician.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Medical.Specialist.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Primary.Care.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Physician.visits.per.decedent.last.6.months..Ratio.MS.PC..calculated.,Home.Health.Agency.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Percent.of.Deaths.Occurring.In.Hospital,Percent.of.Deaths.Associated.With.ICU.Admission,Percent.of.Decedents.Enrolled.In.Hospice.during.the.Last.Six.Months.of.Life,Hospice.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Percent.of.Decedents.Seeing.10.or.More.Different.Physicians.during.the.Last.Six.Months.of.Life,Number.of.Different.Physicians.Seen.per.Decedent.during.the.Last.Six.Months.of.Life,Average.Co.Payments.per.Decedent.during.the.Last.Two.Years.of.Life,Average.Co.Payments.for.Physician.Services.per.Decedent.during.the.Last.Two.Years.of.Life,Average.Co.Payments.for.Durable.Medical.Equipment.per.Decedent.during.the.Last.Two.Years.of.Life,hospital_name.x,city.x,hospital_name.y,city.y,longitude,latitude,address,website,tele
58,CA- MODESTO,50444,Mercy Med Ctr - Merced,Merced,CA,CommonSpirit Health,392,92,1.1,94018,51932,15504,13489,4275,5369,1996,985,469,15705,6685,3342,1448,836,3394,47478,19.7,2414,1.3,1.1,1.2,6876,71.8,96,1,1.1,0.9,53.9,32,6.7,25.4,21.8,49,33.1,13.5,15,0.9,51.8,11.5,7.1,1.8,5.4,4.4,8.4,34,15.3,16.1,1,8.4,24.5,21.4,57.6,21.5,61.3,12.7,4926,4623,303,mercy med ctr  merced,merced,mercy medical center  merced,merced,-120.467528265,37.3398556550001,333 MERCY AVENUE,http://www.mercymercedcares.org/index.htm,NOT AVAILABLE
73,CA- REDDING,50280,Mercy Med Ctr-Redding,Redding,CA,CommonSpirit Health,643,92.6,0.7,89721,44817,17695,15406,4897,3859,1191,1048,809,12763,4600,3259,1472,952,2481,41789,15.3,2732,1.1,0.8,1.3,4823,47,103,0.7,0.7,1,41.9,22.2,4.8,17.4,19.7,56.4,23.8,9.6,9.7,1,39.4,9.8,5.3,1.5,3.8,4.6,9.8,22.7,8,8.7,0.9,7.6,35,26.7,39.1,12.9,53.2,11.3,4106,3789,316,mercy med ctrredding,redding,mercy medical center  redding,redding,-122.395410565,40.571924983,2175 ROSALINE AVENUE,http://www.mercymercedcares.org/index.htm,NOT AVAILABLE
301,NY- EAST LONG ISLAND,330259,Mercy Med Ctr-Rockville Centre,Rockville Centre,NY,Catholic Health Services of Long Island,298,81.5,1.8,125546,52231,24745,34429,6507,3133,1426,873,2201,22887,12474,3926,2066,1386,3036,44090,26.6,1658,1.2,1.5,0.8,12481,113.4,110,1.8,1.7,1,72.9,16,6.5,9.5,56.9,124.6,48.6,24.6,15.2,1.6,61.9,15.8,4.3,1.9,2.4,11.5,22.1,61.4,34.7,15.5,2.2,10.8,30.6,25.3,34.9,8.4,85.1,21.3,6611,6363,248,mercy med ctrrockville centre,rockville centre,mercy medical center,rockville centre,-73.6316038099999,40.6885130310001,1000 N VILLAGE AVE,http://www.mercymedicalcenter.chsli.org,(516) 705-2525
223,MD- BALTIMORE,210008,Mercy Medical Center,Baltimore,MD,,162,77.9,0.8,119043,61861,36154,10398,4289,3967,740,1063,573,16371,5959,3486,1241,997,4688,57853,17.7,3271,1.5,1,1.6,5970,54.8,109,0.8,0.8,1,48.5,17.6,5.2,12.4,30.9,67.8,31.7,13.9,10.5,1.3,43.3,10.7,4.5,1.5,2.9,6.2,13.9,24.9,12.5,8.8,1.4,8.9,34.5,28.8,47.8,20.4,64.8,14.9,5980,5655,326,mercy medical center,baltimore,mercy medical center,baltimore,-76.612884233,39.2929215520001,301 ST PAUL PLACE,http://www.mdmercy.com,(410) 332-9237
342,OR- EUGENE,380027,Mercy Medical Center,Roseburg,OR,CommonSpirit Health,245,95,0.6,65300,31494,17476,5027,3729,4003,1920,1279,372,15467,3911,2536,664,563,7793,29226,12,2428,0.8,0.7,1.2,4231,43.5,97,0.6,0.7,0.9,33,14.8,8.6,6.2,18.1,31.6,17.8,8.8,5.7,1.5,32.8,7.3,3.5,2,1.5,3.7,5.6,20.2,7.8,6.3,1.2,8,23.4,15.4,57.3,18.4,47.8,10.3,4875,4484,391,mercy medical center,roseburg,mercy medical center,roseburg,-123.366711098,43.2415621220001,2700 NW STEWART PARKWAY,www.mercyrose.org,NOT AVAILABLE
230,MA- SPRINGFIELD,220066,Mercy Medical Center,Springfield,MA,Trinity Health,273,89.6,0.8,95411,42788,23594,15181,6020,4493,1891,832,611,14474,6705,2243,1549,1091,2885,39215,16.4,2396,1,0.9,1.2,6712,55.8,120,0.9,0.8,1.1,44.8,15.6,3.5,12,29.3,52.9,26.6,12.4,8,1.5,39.3,9.1,3.5,0.9,2.6,5.6,9.3,24.3,10.7,7,1.5,13.1,20,14.6,56,17.4,73.3,16.3,4391,4152,238,mercy medical center,springfield,mercy medical center,springfield,-83.811341856,39.940974693,1345 FOUNTAIN BLVD,http://www.community-mercy.org/imaging_center_main.asp,(937) 523-1000
326,OH- CANTON,360070,Mercy Medical Center-Canton,Canton,OH,Sisters of Charity Health System,251,91.1,1,81486,33650,18039,16377,3997,6196,1693,838,696,19626,6998,2795,809,1020,8005,28873,16.5,1745,0.8,0.9,0.8,7008,66.7,105,1,1,1,45.3,30,7.6,22.5,15.3,79.2,31.9,15.1,11.7,1.3,45.3,9,6,1.5,4.4,3.1,12.9,28.8,13.7,9.1,1.5,8.4,16.8,14.2,64.9,28.5,66,14.1,6060,5786,275,mercy medical centercanton,canton,mercy medical centerclinton,clinton,-90.189015528,41.861501821,1410 NORTH 4TH STREET,http://www.mercyclinton.com,(563) 244-5555
190,IA- CEDAR RAPIDS,160079,Mercy Medical Center-Cedar Rapids,Cedar Rapids,IA,,302,93.8,0.7,68216,28275,21312,7861,2352,6496,850,653,416,10605,4728,1615,646,565,3052,25476,13.3,1910,0.7,0.7,0.9,4861,47.7,102,0.7,0.7,0.9,36.5,5.6,3.8,1.7,31,42.7,19.1,10,4.8,2.1,30.7,7.6,1.4,1,0.5,6.1,6.8,20.7,9.3,4,2.3,4.1,9.6,4.9,76.6,24.8,55.2,12,3265,3068,197,mercy medical centercedar rapids,cedar rapids,mercy medical center,cedar rapids,-91.655828564,41.9782564650001,701 TENTH STREET SE,http://www.mercycare.org,(319) 398-6011
191,IA- DAVENPORT,160080,Mercy Medical Center-Clinton,Clinton,IA,Trinity Health,146,88.2,0.6,75083,33215,19093,10904,2849,3031,1775,3878,339,15433,5565,2135,1048,854,5831,30376,12.4,2446,0.8,0.7,1.2,5592,45.7,122,0.8,0.7,1.1,34,27.1,7.3,19.8,6.9,53.9,20.2,10.6,5.4,1.9,35.9,7.3,6.3,2.1,4.2,1,9.2,21.6,9.9,2.8,3.6,5.8,19.6,19.1,57.3,14.1,55.8,11.1,5390,4252,1138,mercy medical centerclinton,clinton,mercy medical centerclinton,clinton,-90.189015528,41.861501821,1410 NORTH 4TH STREET,http://www.mercyclinton.com,(563) 244-5555
192,IA- DES MOINES,160083,Mercy Medical Center-Des Moines,Des Moines,IA,CommonSpirit Health,802,91.3,0.8,70121,32450,18227,8498,2519,5825,1340,981,281,14673,4607,2119,878,674,6394,29119,15.8,1841,0.8,0.9,0.9,4911,51.8,95,0.7,0.8,0.9,43.3,26.9,5.5,21.3,16.5,42.4,20.3,10.9,5,2.2,42,9,5.7,1.3,4.3,3.3,6.3,24.5,11.5,4.7,2.5,5.3,20,17.4,66.7,25.2,59.7,13.7,4719,4419,300,mercy medical centerdes moines,des moines,mercy medical centerdes moines,des moines,-93.6231191369999,41.5987815890001,1111 6TH AVENUE,http://www.mercydesmoines.org,(515) 247-3222
193,IA- DUBUQUE,160069,Mercy Medical Center-Dubuque,Dubuque,IA,Trinity Health,126,91.8,0.7,64576,25794,22828,7772,1686,4342,1142,624,388,16995,4513,1908,792,972,8810,23072,14.7,1570,0.6,0.8,0.8,4693,47.1,100,0.7,0.7,0.9,40.3,11.2,10.9,0.4,29,49.6,20.1,9.8,5.4,1.8,38.4,8.4,2.3,2.3,0,6.1,7.6,21.1,9,4.3,2.1,4.1,16.3,8.5,65.4,21.9,48.2,10.5,5086,4876,210,mercy medical centerdubuque,dubuque,mercy medical centerdubuque,dubuque,-90.674778627,42.4925056430001,250 MERCY DRIVE,http://www.mercydubuque.com,(563) 589-8000
195,IA- MASON CITY,160064,Mercy Medical Center-North Iowa,Mason City,IA,Trinity Health,485,92.3,0.7,69504,32698,19408,8011,1058,5445,1262,1168,454,10361,4257,1910,702,498,2994,29627,15.1,1957,0.8,0.8,0.9,4765,47.6,100,0.7,0.7,0.9,41.5,14.5,4.5,10,27,51.1,18.9,7.2,7.3,1,37,8.2,3.1,1.2,1.9,5.1,8.1,20,7.1,6.1,1.2,1.9,11.8,9.2,74.1,23.4,50.6,11,3159,2783,375,mercy medical centernorth iowa,mason city,mercy medical centernorth iowa,mason city,-93.216719309,43.1500755810001,1000 FOURTH STREET SW,http://www.mercynorthiowa.com,(641) 428-7000
196,IA- SIOUX CITY,160153,Mercy Medical Center-Sioux City,Sioux City,IA,Trinity Health,314,91.3,0.9,74414,33738,20584,10720,1848,5005,1063,1073,384,16104,4816,3467,1002,824,5994,29865,17.3,1726,0.8,1,0.8,5238,56.3,93,0.7,0.9,0.9,47.4,17.5,5.9,11.6,29.9,58.2,25.7,11.7,9,1.3,42.9,10.1,4.2,1.6,2.6,5.9,10.6,26.4,13.2,10.7,1.2,3.4,29.6,20.2,55.1,23.4,54.2,11.5,4920,4596,324,mercy medical centersioux city,sioux city,mercy medical center sioux city,sioux city,-96.399903761,42.4958422240001,801 5TH STREET,http://www.mercysiouxcity.com/,(712) 279-2010
293,NM- ALBUQUERQUE,60013,Mercy Regional Medical Center,Durango,CO,CommonSpirit Health,120,92.4,0.6,75560,37013,18208,10093,3607,4621,814,1011,194,9474,4621,2004,567,435,1848,34053,12.3,2777,0.9,0.7,1.3,4863,40.9,119,0.7,0.6,1.1,33.6,11.3,4.5,6.8,22.3,56.9,21.9,7.6,9.9,0.8,30.3,7,2.8,1.3,1.5,4.2,8.5,18.6,6.7,9.9,0.7,7.6,16.6,9.4,60,18.2,48.6,11.2,3129,2799,330,mercy regional medical center,durango,mercy regional medical center,durango,-107.826268445,37.2360279270001,1010 THREE SPRINGS BLVD,http://www.mercydurango.org,(970) 247-4311
331,OH- ELYRIA,360172,Mercy Regional Medical Center,Lorain,OH,Mercy Health,226,87.8,1.2,92137,40915,16816,22260,4104,4815,1748,716,762,16578,8270,2315,833,623,4538,34712,17,2047,0.9,0.9,1,8312,84.3,99,1.2,1.3,0.9,46.5,24.3,9.7,14.5,22.2,69.5,32.5,18.4,7.8,2.4,45.8,9.9,5.9,2.7,3.1,4,12.3,43.9,23.4,7.1,3.3,7.8,15.8,13.7,64.9,19.3,81.3,18.8,5084,4859,225,mercy regional medical center,lorain,mercy regional medical center,lorain,-82.2371635279999,41.4365245390001,3700 KOLBE ROAD,http://www.mercyonline.org/mercy_regional_medical_center.aspx,(440) 960-4000
213,LA- LAFAYETTE,190167,Mercy Regional Medical Center,Ville Platte,LA,Allegiance Health Management,137,86.6,0.8,83316,30814,14129,20907,8110,4998,2521,1285,551,13037,5686,2184,1433,825,2909,27103,15.7,1725,0.7,0.9,0.8,5706,55.5,103,0.8,0.8,1,43,17.9,8.7,9.3,25.1,81.8,28.5,6.4,16.2,0.4,41.1,9.3,4.2,2.1,2.1,5,13.9,25.6,5.9,17,0.3,16.1,19.3,14.8,66.7,23.4,40.1,9.4,3902,3497,405,mercy regional medical center,ville platte,mercy regional medical center,ville platte,-92.266246075,30.682225245,800 E MAIN ST,http://www.mercyregionalmedicalcenter.com,(337) 363-9410
77,CA- SACRAMENTO,50516,Mercy San Juan Medical Center,Carmichael,CA,CommonSpirit Health,499,89.4,0.9,100598,49024,15926,14207,6794,11353,1875,715,705,15860,6370,2724,1408,964,4393,44885,16,2800,1.2,0.9,1.3,6407,58.1,110,0.9,0.9,1,43.9,27,5.4,21.6,16.9,46.4,27.9,13.8,9.8,1.4,42.4,9.7,6.1,1.5,4.6,3.6,8.2,28.2,13.7,7.7,1.8,8.9,28.9,23.1,58.1,27.3,62.4,14,4616,4400,216,mercy san juan medical center,carmichael,mercy san juan hospital,carmichael,-121.314108193,38.6698292940001,6501 COYLE AVENUE,http://www.mercysanjuan.org,NOT AVAILABLE
334,OH- TOLEDO,360262,Mercy St. Anne Hospital,Toledo,OH,Mercy Health,117,85.7,1,79430,34763,15696,11876,6213,8031,901,1445,505,12952,6699,2198,990,698,2368,30252,16.5,1834,0.8,0.9,0.9,6700,68.9,97,0.9,1,0.9,45.2,29.7,8,21.7,15.5,65.2,30.3,14,10.5,1.3,45.3,9.4,6.5,2.3,4.3,2.9,13.2,32.7,17.7,9.9,1.8,13.9,11.2,10.4,66.9,28.7,64.5,15.5,4298,3801,497,mercy st. anne hospital,toledo,mercy st anne hospital,toledo,-83.625681529,41.693599299,3404 SYLVANIA AVENUE,http://www.mercyweb.org,(419) 407-2400
334,OH- TOLEDO,360081,Mercy St. Charles Hospital,Oregon,OH,Mercy Health,144,89.7,1.1,85288,38227,14945,15605,6198,7279,1371,1091,572,13117,7027,1980,742,744,2624,33330,17.8,1875,0.9,1,0.9,7027,70.5,100,1,1.1,0.9,48.7,29.2,5,24.2,19.5,78.8,33.2,16.3,11.9,1.4,46.3,10.1,6.5,1.3,5.2,3.6,11.9,35.7,21,12.1,1.7,15.3,10.9,9.4,74.3,29.8,59.5,14.2,4154,3809,345,mercy st. charles hospital,oregon,mercy st charles hospital,oregon,-83.485225207,41.6351238390001,2600 NAVARRE AVENUE,http://www.mercyweb.org,(419) 696-7200
334,OH- TOLEDO,360112,Mercy St. Vincent Medical Center,Toledo,OH,Mercy Health,211,77.3,0.9,84122,42033,14396,14237,4531,6586,1324,651,365,11791,5706,2010,769,555,2751,37732,15.4,2444,1,0.9,1.2,5727,58.1,99,0.8,0.9,0.9,42.3,28,10.1,17.9,14.3,71.6,29.8,15,9,1.7,43.8,9.2,6.7,2.9,3.8,2.5,9.3,30.9,18.4,9.1,2,12.9,19.8,19.2,64.1,23.9,66.1,15.6,4020,3817,202,mercy st. vincent medical center,toledo,mercy st vincent medical center,toledo,-83.542789756,41.668669951,2213 CHERRY STREET,http://www.mercyweb.org,(419) 251-4200
334,OH- TOLEDO,360089,Mercy Tiffin Hospital,Tiffin,OH,Mercy Health,98,83.6,0.6,67871,32655,12409,9845,2383,8088,1315,905,271,9081,4969,1389,564,401,1758,29649,11.8,2510,0.8,0.7,1.2,4996,40.2,124,0.7,0.6,1.2,32.4,11.1,7.3,3.8,21.2,50.7,22.3,6.5,11.4,0.6,30.7,6.6,2.5,1.7,0.8,4.1,7.2,17.1,6.1,9.1,0.7,4.6,17.1,13,67.9,32,39.6,9,2897,2611,287,mercy tiffin hospital,tiffin,mercy tiffin hospital,tiffin,-83.2162628139999,41.103767023,45 ST LAWRENCE DRIVE,http://www.mercyweb.org/mercy_tiffin.aspx,(419) 455-7000
257,MS- GULFPORT,250007,Merit Health Biloxi,Biloxi,MS,"Community Health Systems, Inc.",107,81.3,0.9,76221,35067,12659,16350,5311,3974,1567,878,416,10324,5601,1574,719,581,1848,31249,17.1,1825,0.8,0.9,0.9,5744,57.8,99,0.8,0.9,0.9,46.9,35.5,12.2,23.3,11.4,76.8,27,11.2,11.5,1,50.2,10.9,8.3,3.2,5.1,2.6,12.2,31.5,13.6,14.9,0.9,12.9,22.7,21.5,57.1,18.2,51.4,12.5,3266,2984,282,merit health biloxi,biloxi,merit health biloxi,biloxi,-88.889750648,30.3959386810001,150 REYNOIR STREET,http://www.merithealthbiloxi.com/,(228) 432-1571
259,MS- JACKSON,250072,Merit Health Central,Jackson,MS,"Community Health Systems, Inc.",98,79,1,72393,35985,11013,12877,3949,5175,1691,1401,302,10232,4786,1760,680,547,2458,31597,17.5,1806,0.8,1,0.9,5253,63.1,83,0.7,1,0.8,47.9,31.5,11,20.5,16.4,54.7,27.2,11.9,11,1.1,49.3,11.5,7.8,3,4.8,3.7,8.4,35.5,17.6,15.5,1.1,8.3,32.9,30.3,42.8,22.3,60.5,12,3629,3167,462,merit health central,jackson,merit health central,jackson,-90.25451918,32.287768532,1850 CHADWICK DRIVE,http://www.merithealthcentral.com/,(601) 376-1000
262,MS- TUPELO,250025,Merit Health Gilmore Memorial,Amory,MS,"North Mississippi Health Services, Inc.",87,87.4,0.7,80479,30086,12699,15233,5530,13050,2127,1472,282,10865,5091,1934,812,442,2585,27060,17.7,1530,0.7,1,0.7,5372,40.8,132,0.8,0.6,1.2,48.4,22.6,8.6,13.9,25.9,98.7,20,5.1,10.1,0.5,46.3,10.6,5.1,2.5,2.6,5.5,12.6,18.7,4.8,8.6,0.6,8.7,22.8,19.1,61.1,45,45.3,10.1,3241,2779,462,merit health gilmore memorial,amory,north mississippi health gilmore memorial,amory,-88.476604472,33.9777292530001,1105 EARL FRYE BOULEVARD,http://www.merithealthgilmore.com/,(662) 256-7111
259,MS- JACKSON,250084,Merit Health Natchez,Natchez,MS,"Community Health Systems, Inc.",175,89,1,95082,35067,16742,26735,5860,4416,4825,748,690,18687,5779,2666,978,840,8425,31260,16.6,1884,0.8,0.9,0.9,5864,67.1,87,0.8,1,0.8,45.5,22.1,6.7,15.4,23.3,50,29.4,10.6,13.5,0.8,43,9.9,5.1,1.8,3.3,4.8,9.9,31.1,11,17.7,0.6,11.9,30.9,24.1,47.8,20.5,54,10.5,5688,5425,263,merit health natchez,natchez,merit health natchez,natchez,-91.3917923019999,31.527489847,54 SEARGENT PRENTISS DRIVE,http://www.merithealthnatchez.com/,(601) 443-2100
379,TN- MEMPHIS,250042,Merit Health Northwest Mississippi,Clarksdale,MS,"Community Health Systems, Inc.",82,83.8,0.9,77903,35753,10780,15428,5726,3068,4547,2069,532,13252,5116,1392,747,643,5355,32043,17.7,1813,0.9,1,0.9,5241,55.5,94,0.7,0.8,0.9,48.4,32.3,10.1,22.2,16.1,77.2,25.1,9.5,11,0.9,49.4,9.5,6.7,2.1,4.6,2.7,12,25.5,12,11.3,1.1,14.2,30.9,25.4,43.6,22.1,47.2,9.9,5093,4342,751,merit health northwest mississippi,clarksdale,northwest mississippi regional medical center,clarksdale,-90.5522162789999,34.195960321,1970 HOSPITAL DRIVE,http://www.merithealthnorthwestms.com/locations/merit-health-northwest-mississippi,(662) 627-3211
259,MS- JACKSON,250031,Merit Health River Region,Vicksburg,MS,"Community Health Systems, Inc.",184,89.6,1.1,95321,38329,15666,25684,6610,5340,1953,1307,431,17569,6125,2360,789,696,7599,32906,17.3,1897,0.9,1,0.9,6453,71.8,90,0.9,1.1,0.8,47.5,31.7,13.3,18.5,15.8,70.2,31.8,11.4,15.3,0.7,50.2,10.6,7.4,3.8,3.6,3.2,10.4,40.1,16.4,21.8,0.8,14.5,28.9,26.2,46.3,16.9,65.1,12.2,5768,5329,439,merit health river region,vicksburg,merit health river region,vicksburg,-90.824527328,32.374372759,2100 HIGHWAY 61 NORTH,http://www.merithealthriverregion.com/merit-health-river-region/home.aspx,(601) 883-5000
258,MS- HATTIESBURG,250094,Merit Health Wesley,Hattiesburg,MS,"Community Health Systems, Inc.",177,84.3,0.8,73054,30098,13731,10783,7445,7947,1831,833,382,12637,4662,2302,943,635,4095,27182,15.8,1717,0.7,0.9,0.8,4854,48.3,101,0.7,0.7,0.9,43.4,27.3,7.9,19.4,16.1,46.7,21.7,8.7,8.1,1.1,43.3,10.3,6.8,2,4.8,3.5,7.9,24.9,9.9,11.5,0.9,15.8,26.5,23,59.4,35.1,52.8,10.8,3992,3699,292,merit health wesley,hattiesburg,merit health wesley,hattiesburg,-89.366462365,31.3260739630001,5001 HARDY STREET,http://www.merithealthwesley.com/merit-health-wesley/home.aspx,(601) 268-8000
113,DC- WASHINGTON,210001,Meritus Medical Center,Hagerstown,MD,,586,94.8,1,98570,51810,22814,11217,3833,5243,1732,856,1065,19036,7609,3166,1674,1222,5366,47094,19.2,2459,1.3,1.1,1.2,7644,64.6,118,1.1,1,1.1,52.5,11.8,6.2,5.6,40.7,60.6,29,14.8,8.1,1.8,45.4,10.8,2.7,1.6,1.1,8.1,10.8,29.9,16.1,7.1,2.3,8.5,15.4,12.3,68.4,21.4,76.4,17.4,5650,5391,259,meritus medical center,hagerstown,meritus medical center,hagerstown,-77.682562947,39.622192811,11116 MEDICAL CAMPUS ROAD,http://www.meritushealth.com/for-hospital-patients-and-visitors/meritus-medical-center.aspx,(240) 313-9500
391,TX- DALLAS,450723,Methodist Charlton Med Ctr,Dallas,TX,Methodist Health System,305,84.8,1.2,105959,44440,19047,22135,8409,7602,2060,1324,942,22418,9269,4346,1341,1280,6182,37904,18.5,2046,1,1,1,9282,82.1,113,1.3,1.2,1,50.7,16.1,6,10.1,34.7,56.4,40.1,17.4,16.9,1,45.1,11.5,3.7,1.5,2.2,7.8,10,41.9,18.5,19.9,0.9,16.2,19.6,15.2,64.9,27.4,68.8,17.2,6796,6370,426,methodist charlton med ctr,dallas,methodist charlton medical center,dallas,-96.876848616,32.6457618630001,3500 WEST WHEATLAND ROAD,http://www.methodisthealthsystem.org/charlton,(214) 947-7777
391,TX- DALLAS,450051,Methodist Dallas Medical Center,Dallas,TX,Methodist Health System,231,84.1,1.1,102096,48195,16517,17026,8500,8141,1641,1272,803,17624,7696,3594,1221,1152,3961,42738,17.2,2488,1.1,1,1.2,7718,74.1,104,1.1,1.1,1,47.1,14,8.2,5.8,33.1,47.2,36.2,16.2,13.9,1.2,42.9,11.1,3.6,2.2,1.5,7.5,8.3,39.4,18,17.4,1,13.8,15.5,13.1,72.4,28.1,69.7,16.5,6002,5592,410,methodist dallas medical center,dallas,methodist dallas medical center,dallas,-96.826023549,32.7603738120001,1441 N. BECKLEY AVENUE,http://www.methodisthealthsystem.org/dallas,(214) 947-8181
379,TN- MEMPHIS,440049,Methodist Healthcare-Memphis Hosps,Memphis,TN,Methodist Le Bonheur Healthcare,1365,89.3,1.1,86278,40965,16153,14472,4420,4891,3155,1112,1110,16471,6297,2668,1054,1175,5277,36361,20,1820,1,1.1,0.9,6332,71.7,88,0.9,1.1,0.8,54.7,18.7,7.5,11.2,36,57.8,29.9,12.9,11.5,1.1,49.5,12.2,4.7,2,2.7,7.5,9.5,36.7,17.1,12.6,1.4,9.6,25.6,19.4,58.6,20.8,65.2,14.8,5143,4789,353,methodist healthcarememphis hosps,memphis,methodist healthcare  memphis hospital,memphis,-90.019467514,35.1366685450001,1265 UNION AVENUE,http://www.methodisthealth.org/locations/methodist-university-hospital,(901) 516-0543
56,CA- LOS ANGELES,50238,Methodist Hosp Of Southern Ca,Arcadia,CA,,427,87.3,2.1,134269,62900,19553,32681,7409,6654,2419,1755,900,26031,13180,4526,1684,1228,5413,52264,27.1,1931,1.4,1.5,0.9,13189,140.3,94,1.8,2.1,0.9,74.1,59.8,12,47.8,14.3,95.4,61.2,30.7,21.1,1.5,76.6,15.9,13.1,3.4,9.7,2.8,14.3,77.3,44.2,25,1.8,10.1,32.1,31,45.9,16.7,70.7,16.9,7913,7412,501,methodist hosp of southern ca,arcadia,methodist hospital of southern california,arcadia,-118.041711746,34.1344874600001,300 WEST HUNTINGTON DRIVE,http://www.methodisthospital.org,NOT AVAILABLE
77,CA- SACRAMENTO,50590,Methodist Hospital Of Sacramento,Sacramento,CA,CommonSpirit Health,194,90.4,0.8,105503,58533,14254,13909,6203,9011,2572,614,408,14638,5665,2790,1235,600,4348,54744,16.6,3306,1.5,0.9,1.6,5678,47.6,119,0.8,0.7,1.1,45.4,28.7,5.6,23.2,16.6,46.2,23.9,11.2,8.7,1.3,44,8.9,6,1.3,4.7,2.8,9,21,8.2,5.7,1.4,9.1,24.9,20.3,48.5,26.8,49.4,11.3,4215,4027,188,methodist hospital of sacramento,sacramento,methodist hospital of sacramento,sacramento,-121.416526442,38.4635474510001,7500 HOSPITAL DRIVE,http://www.methodistsacramento.org,NOT AVAILABLE
